LJ011-0287|but at length managed to wriggle out of the chain which confined his body, and soon loosened the ropes round his feet.|but at length managed to wriggle out of the chain which confined his body, and soon loosened the ropes round his feet.
LJ033-0207|In light of the other evidence linking Lee Harvey Oswald, the blanket, and the rifle to the paper bag found on the sixth floor,|In light of the other evidence linking Lee Harvey Oswald, the blanket, and the rifle to the paper bag found on the sixth floor,
LJ012-0019|The name of Ikey Solomons was long remembered by thief and thief-taker.|The name of Ikey Solomons was long remembered by thief and thief-taker.
LJ026-0001|The Science: History of the Universe, Volume 5. Edited by Francis Rolt-Wheeler. Biology. Chapter 8.|The Science: History of the Universe, Volume five. Edited by Francis Rolt-Wheeler. Biology. Chapter eight.
LJ047-0177|As discussed in chapter 6, she failed to report this to Agent Hosty|As discussed in chapter six, she failed to report this to Agent Hosty
LJ021-0178|Has England gone back to the gold standard today?|Has England gone back to the gold standard today?
LJ012-0200|Bishop got weary of the dangers and fatigues of exhumation, and proposed to Williams that instead of disinterring they should murder their subjects.|Bishop got weary of the dangers and fatigues of exhumation, and proposed to Williams that instead of disinterring they should murder their subjects.
LJ005-0218|The chapel still continued incommodious and insufficient|The chapel still continued incommodious and insufficient
LJ030-0016|On the morning of November 22, President Kennedy attended a breakfast at the hotel and afterward addressed a crowd at an open parking lot.|On the morning of November twenty-two, President Kennedy attended a breakfast at the hotel and afterward addressed a crowd at an open parking lot.
LJ022-0064|and to give to all a feeling of security as they look toward old age.|and to give to all a feeling of security as they look toward old age.
LJ047-0188|Had you planned any steps beyond that point?|Had you planned any steps beyond that point?
LJ018-0005|the public mind was greatly agitated by the affair for several months. The story of the murder must be pretty familiar to most of my readers.|the public mind was greatly agitated by the affair for several months. The story of the murder must be pretty familiar to most of my readers.
LJ035-0177|According to Barnett, quote, there were people going in and out, end quote, during this period.|According to Barnett, quote, there were people going in and out, end quote, during this period.
LJ030-0199|The Governor was lying with his head on his wife's lap when he heard a shot hit the President.|The Governor was lying with his head on his wife's lap when he heard a shot hit the President.
LJ012-0148|instead of handing it or the price of it back to the Caspars.|instead of handing it or the price of it back to the Caspars.
LJ029-0133|trisect the plaza, converging at the apex of the triangle to form a triple underpass beneath a multiple railroad bridge|trisect the plaza, converging at the apex of the triangle to form a triple underpass beneath a multiple railroad bridge
LJ044-0107|and advised them of some of his activities on behalf of the organization.|and advised them of some of his activities on behalf of the organization.
LJ044-0029|It appears to have been a solitary operation on Oswald's part in spite of his misstatements to the New Orleans police that it had 35 members,|It appears to have been a solitary operation on Oswald's part in spite of his misstatements to the New Orleans police that it had thirty-five members,
LJ028-0115|I laid its foundation deep to the water level;|I laid its foundation deep to the water level;
LJ038-0059|that there was no one near Oswald who had a shotgun and he saw no one strike Oswald in the back with a rifle butt or the butt of a gun.|that there was no one near Oswald who had a shotgun and he saw no one strike Oswald in the back with a rifle butt or the butt of a gun.
LJ013-0185|Three days later a close search of the butler's pantry produced fresh circumstantial evidence.|Three days later a close search of the butler's pantry produced fresh circumstantial evidence.
LJ010-0166|From this he was promoted to barman, and as such had charge of the business in various public-houses.|From this he was promoted to barman, and as such had charge of the business in various public-houses.
LJ006-0115|Their original capital had been a few shillings, and for this they purchased the right to tax their fellows to the extent of pounds per week.|Their original capital had been a few shillings, and for this they purchased the right to tax their fellows to the extent of pounds per week.
LJ004-0243|The bulk of the prisoners were still left in idleness.|The bulk of the prisoners were still left in idleness.
LJ028-0033|There is a Hebrew tradition that it was the oldest of all cities, but now we know that great empires flourished and passed away before Babylon was built.|There is a Hebrew tradition that it was the oldest of all cities, but now we know that great empires flourished and passed away before Babylon was built.
LJ039-0173|They had not even pulled the trigger because of concern about breaking the firing pin.|They had not even pulled the trigger because of concern about breaking the firing pin.
LJ046-0106|largely measures taken by the Secret Service, is considered.|largely measures taken by the Secret Service, is considered.
LJ007-0016|"it tended to ""dissipate reflection, diminish the gloom of the prison, and mitigate the punishment which the law has sentenced the prisoner to undergo."""|"it tended to ""dissipate reflection, diminish the gloom of the prison, and mitigate the punishment which the law has sentenced the prisoner to undergo."""
LJ048-0001|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy.
LJ030-0112|The motorcade left Love Field shortly after 11:50 a.m. and drove at speeds up to 25 to 30 miles an hour|The motorcade left Love Field shortly after eleven:fifty a.m. and drove at speeds up to twenty-five to thirty miles an hour
